Provinsi,Jenis Kelamin,Tahun,Persentase
Kalimantan Tengah,Laki-Laki,2023,53.31
Kalimantan Tengah,Laki-Laki,2022,53.8
Kalimantan Tengah,Laki-Laki,2021,54.48
Kalimantan Tengah,Laki-Laki,2020,55.11
Kalimantan Tengah,Perempuan,2024,46.53
Kalimantan Tengah,Perempuan,2023,46.69
Kalimantan Tengah,Perempuan,2022,46.2
Kalimantan Tengah,Perempuan,2021,45.52
Kalimantan Tengah,Perempuan,2020,44.89
Kalimantan Selatan,Laki-Laki,2024,52.35
Kalimantan Selatan,Laki-Laki,2023,52.28
Kalimantan Selatan,Laki-Laki,2022,52.98
Kalimantan Selatan,Laki-Laki,2021,53.16
Kalimantan Selatan,Laki-Laki,2020,53.77
Kalimantan Selatan,Perempuan,2024,47.65
Kalimantan Selatan,Perempuan,2023,47.72
Kalimantan Selatan,Perempuan,2022,47.02
Kalimantan Selatan,Perempuan,2021,46.84
Kalimantan Selatan,Perempuan,2020,46.23
Kalimantan Timur,Laki-Laki,2024,52.07
Kalimantan Timur,Laki-Laki,2023,52.63
Kalimantan Timur,Laki-Laki,2022,52.73
Kalimantan Timur,Laki-Laki,2021,52.9
Kalimantan Timur,Laki-Laki,2020,54.3
Kalimantan Timur,Perempuan,2024,47.93
Kalimantan Timur,Perempuan,2023,47.37
Kalimantan Timur,Perempuan,2022,47.27
Kalimantan Timur,Perempuan,2021,47.1
Kalimantan Timur,Perempuan,2020,45.7
Kalimantan Utara,Laki-Laki,2024,52.42
Kalimantan Utara,Laki-Laki,2023,52.59
Kalimantan Utara,Laki-Laki,2022,53.2
Kalimantan Utara,Laki-Laki,2021,53.57
Kalimantan Utara,Laki-Laki,2020,53.84
Kalimantan Utara,Perempuan,2024,47.58
Kalimantan Utara,Perempuan,2023,47.41
Kalimantan Utara,Perempuan,2022,46.8
Kalimantan Utara,Perempuan,2021,46.43
Kalimantan Utara,Perempuan,2020,46.16
Sulawesi Utara,Laki-Laki,2024,50.39
Sulawesi Utara,Laki-Laki,2023,50.26
Sulawesi Utara,Laki-Laki,2022,50.37
Sulawesi Utara,Laki-Laki,2021,50.32
Sulawesi Utara,Laki-Laki,2020,50.25
Sulawesi Utara,Perempuan,2024,49.61
Sulawesi Utara,Perempuan,2023,49.74
Sulawesi Utara,Perempuan,2022,49.63
Sulawesi Utara,Perempuan,2021,49.68
Sulawesi Utara,Perempuan,2020,49.75
Sulawesi Tengah,Laki-Laki,2024,51.22
Sulawesi Tengah,Laki-Laki,2023,51.04
Sulawesi Tengah,Laki-Laki,2022,51.48
Sulawesi Tengah,Laki-Laki,2021,50.8
Sulawesi Tengah,Laki-Laki,2020,51.78
Sulawesi Tengah,Perempuan,2024,48.78
Sulawesi Tengah,Perempuan,2023,48.96
Sulawesi Tengah,Perempuan,2022,48.52
Sulawesi Tengah,Perempuan,2021,49.2
Sulawesi Tengah,Perempuan,2020,48.22
Sulawesi Selatan,Laki-Laki,2024,50.08
Sulawesi Selatan,Laki-Laki,2023,50.19
Sulawesi Selatan,Laki-Laki,2022,50.82
Sulawesi Selatan,Laki-Laki,2021,50.24
