Provinsi,Segmentasi Wilayah,Tahun,Persentase
Kep. Bangka Belitung,Perkotaan,2023,91.49
Kep. Bangka Belitung,Perkotaan,2022,91.67
Kep. Bangka Belitung,Perkotaan,2021,86.15
Kep. Bangka Belitung,Perkotaan,2020,84.06
Kep. Bangka Belitung,Perdesaan,2024,90.77
Kep. Bangka Belitung,Perdesaan,2023,90.67
Kep. Bangka Belitung,Perdesaan,2022,87.35
Kep. Bangka Belitung,Perdesaan,2021,78.62
Kep. Bangka Belitung,Perdesaan,2020,71.37
Kep. Riau,Perkotaan,2024,98.68
Kep. Riau,Perkotaan,2023,96.99
Kep. Riau,Perkotaan,2022,96.59
Kep. Riau,Perkotaan,2021,95.21
Kep. Riau,Perkotaan,2020,93.08
Kep. Riau,Perdesaan,2024,87.65
Kep. Riau,Perdesaan,2023,88.06
Kep. Riau,Perdesaan,2022,84.07
Kep. Riau,Perdesaan,2021,76.33
Kep. Riau,Perdesaan,2020,73.77
DKI Jakarta,Perkotaan,2024,98.18
DKI Jakarta,Perkotaan,2023,98.08
DKI Jakarta,Perkotaan,2022,95.39
DKI Jakarta,Perkotaan,2021,95.44
DKI Jakarta,Perkotaan,2020,93.24
DKI Jakarta,Perdesaan,2024,
DKI Jakarta,Perdesaan,2023,
DKI Jakarta,Perdesaan,2022,
DKI Jakarta,Perdesaan,2021,
DKI Jakarta,Perdesaan,2020,
Jawa Barat,Perkotaan,2024,92.83
Jawa Barat,Perkotaan,2023,90.29
Jawa Barat,Perkotaan,2022,90.23
Jawa Barat,Perkotaan,2021,88.02
Jawa Barat,Perkotaan,2020,86.93
Jawa Barat,Perdesaan,2024,82.2
Jawa Barat,Perdesaan,2023,79.48
Jawa Barat,Perdesaan,2022,78.33
Jawa Barat,Perdesaan,2021,72.07
Jawa Barat,Perdesaan,2020,67.77
Jawa Tengah,Perkotaan,2024,91.12
Jawa Tengah,Perkotaan,2023,87.5
Jawa Tengah,Perkotaan,2022,90.18
Jawa Tengah,Perkotaan,2021,86.45
Jawa Tengah,Perkotaan,2020,84.18
Jawa Tengah,Perdesaan,2024,86.44
Jawa Tengah,Perdesaan,2023,83.5
Jawa Tengah,Perdesaan,2022,86.13
Jawa Tengah,Perdesaan,2021,79.14
Jawa Tengah,Perdesaan,2020,75.01
DI Yogyakarta,Perkotaan,2024,91.71
DI Yogyakarta,Perkotaan,2023,92.25
DI Yogyakarta,Perkotaan,2022,90.58
