Provinsi,Segmentasi Wilayah,Tahun,Telepon Kabel
Papua Selatan,Perkotaan,2022,
Papua Selatan,Perkotaan,2023,
Papua Selatan,Perkotaan,2024,0.92
Papua Selatan,Perdesaan,2020,
Papua Selatan,Perdesaan,2021,
Papua Selatan,Perdesaan,2022,
Papua Selatan,Perdesaan,2023,
Papua Selatan,Perdesaan,2024,0.07
Papua Tengah,Perkotaan,2020,
Papua Tengah,Perkotaan,2021,
Papua Tengah,Perkotaan,2022,
Papua Tengah,Perkotaan,2023,
Papua Tengah,Perkotaan,2024,0.06
Papua Tengah,Perdesaan,2020,
Papua Tengah,Perdesaan,2021,
Papua Tengah,Perdesaan,2022,
Papua Tengah,Perdesaan,2023,
Papua Tengah,Perdesaan,2024,0.1
Riau,Perkotaan,2020,1.71
Riau,Perkotaan,2021,1.0
Riau,Perkotaan,2022,0.94
Riau,Perkotaan,2023,0.66
Riau,Perkotaan,2024,0.85
Riau,Perdesaan,2020,0.12
Riau,Perdesaan,2021,0.16
Riau,Perdesaan,2022,0.42
Riau,Perdesaan,2023,0.36
Riau,Perdesaan,2024,0.41
Sulawesi Barat,Perkotaan,2020,0.91
Sulawesi Barat,Perkotaan,2021,0.38
Sulawesi Barat,Perkotaan,2022,0.66
Sulawesi Barat,Perkotaan,2023,0.54
Sulawesi Barat,Perkotaan,2024,0.77
Sulawesi Barat,Perdesaan,2020,0.14
Sulawesi Barat,Perdesaan,2021,0.52
Sulawesi Barat,Perdesaan,2022,0.04
Sulawesi Barat,Perdesaan,2023,0.48
Sulawesi Barat,Perdesaan,2024,0.31
Sulawesi Selatan,Perkotaan,2020,1.63
Sulawesi Selatan,Perkotaan,2021,0.95
Sulawesi Selatan,Perkotaan,2022,1.22
Sulawesi Selatan,Perkotaan,2023,1.15
Sulawesi Selatan,Perkotaan,2024,1.16
Sulawesi Selatan,Perdesaan,2020,0.08
Sulawesi Selatan,Perdesaan,2021,0.04
Sulawesi Selatan,Perdesaan,2022,0.32
Sulawesi Selatan,Perdesaan,2023,0.33
Sulawesi Selatan,Perdesaan,2024,0.25
Sulawesi Tengah,Perkotaan,2020,1.93
Sulawesi Tengah,Perkotaan,2021,1.05
Sulawesi Tengah,Perkotaan,2022,0.6
Sulawesi Tengah,Perkotaan,2023,0.73
Sulawesi Tengah,Perkotaan,2024,1.16
Sulawesi Tengah,Perdesaan,2020,0.18
Sulawesi Tengah,Perdesaan,2021,0.01
Sulawesi Tengah,Perdesaan,2022,0.12
Sulawesi Tengah,Perdesaan,2023,0.05
Sulawesi Tengah,Perdesaan,2024,0.17
Sulawesi Tenggara,Perkotaan,2020,1.16
Sulawesi Tenggara,Perkotaan,2021,0.21
Sulawesi Tenggara,Perkotaan,2022,0.01
Sulawesi Tenggara,Perkotaan,2023,0.04
Sulawesi Tenggara,Perkotaan,2024,
Sulawesi Tenggara,Perdesaan,2020,
Sulawesi Tenggara,Perdesaan,2021,
Sulawesi Tenggara,Perdesaan,2022,
Sulawesi Tenggara,Perdesaan,2023,
Sulawesi Tenggara,Perdesaan,2024,
Sulawesi Utara,Perkotaan,2020,1.4
Sulawesi Utara,Perkotaan,2021,1.31
Sulawesi Utara,Perkotaan,2022,0.98
Sulawesi Utara,Perkotaan,2023,0.97
Sulawesi Utara,Perkotaan,2024,0.5
Sulawesi Utara,Perdesaan,2020,0.04
Sulawesi Utara,Perdesaan,2021,0.32
Sulawesi Utara,Perdesaan,2022,0.24
Sulawesi Utara,Perdesaan,2023,0.18
Sulawesi Utara,Perdesaan,2024,0.14
Sumatera Barat,Perkotaan,2020,2.11
Sumatera Barat,Perkotaan,2021,1.37
Sumatera Barat,Perkotaan,2022,1.6
Sumatera Barat,Perkotaan,2023,1.33
Sumatera Barat,Perkotaan,2024,0.78
Sumatera Barat,Perdesaan,2020,0.12
Sumatera Barat,Perdesaan,2021,0.06
Sumatera Barat,Perdesaan,2022,0.21
Sumatera Barat,Perdesaan,2023,0.37
Sumatera Barat,Perdesaan,2024,0.24
Sumatera Selatan,Perkotaan,2020,2.41
Sumatera Selatan,Perkotaan,2021,1.92
Sumatera Selatan,Perkotaan,2022,2.0
Sumatera Selatan,Perkotaan,2023,1.77
Sumatera Selatan,Perkotaan,2024,0.95
Sumatera Selatan,Perdesaan,2020,0.11
Sumatera Selatan,Perdesaan,2021,0.05
Sumatera Selatan,Perdesaan,2022,0.19
Sumatera Selatan,Perdesaan,2023,0.22
Sumatera Selatan,Perdesaan,2024,0.26
Sumatera Utara,Perkotaan,2020,1.12
Sumatera Utara,Perkotaan,2021,0.8
Sumatera Utara,Perkotaan,2022,1.27
Sumatera Utara,Perkotaan,2023,0.61
Sumatera Utara,Perkotaan,2024,0.78
Sumatera Utara,Perdesaan,2020,0.28
Sumatera Utara,Perdesaan,2021,0.11
Sumatera Utara,Perdesaan,2022,0.17
Sumatera Utara,Perdesaan,2023,0.23
Sumatera Utara,Perdesaan,2024,0.23
