Provinsi,Tahun,Segmentasi Wilayah,Persentase
DKI Jakarta,2023,Perkotaan,96.19
DKI Jakarta,2022,Perkotaan,96.76
DKI Jakarta,2021,Perkotaan,96.92
DKI Jakarta,2020,Perkotaan,96.77
DKI Jakarta,2024,Perdesaan,
DKI Jakarta,2023,Perdesaan,
DKI Jakarta,2022,Perdesaan,
DKI Jakarta,2021,Perdesaan,
DKI Jakarta,2020,Perdesaan,
Gorontalo,2024,Perkotaan,98.18
Gorontalo,2023,Perkotaan,96.38
Gorontalo,2022,Perkotaan,95.62
Gorontalo,2021,Perkotaan,96.19
Gorontalo,2020,Perkotaan,93.65
Gorontalo,2024,Perdesaan,92.19
Gorontalo,2023,Perdesaan,90.94
Gorontalo,2022,Perdesaan,91.86
Gorontalo,2021,Perdesaan,89.34
Gorontalo,2020,Perdesaan,90.79
Jambi,2024,Perkotaan,96.91
Jambi,2023,Perkotaan,96.29
Jambi,2022,Perkotaan,97.31
Jambi,2021,Perkotaan,96.79
Jambi,2020,Perkotaan,96.63
Jambi,2024,Perdesaan,94.98
Jambi,2023,Perdesaan,92.3
Jambi,2022,Perdesaan,93.08
Jambi,2021,Perdesaan,91.56
Jambi,2020,Perdesaan,90.82
Jawa Barat,2024,Perkotaan,93.98
Jawa Barat,2023,Perkotaan,91.26
Jawa Barat,2022,Perkotaan,93.07
Jawa Barat,2021,Perkotaan,91.9
Jawa Barat,2020,Perkotaan,92.48
Jawa Barat,2024,Perdesaan,86.52
Jawa Barat,2023,Perdesaan,80.55
Jawa Barat,2022,Perdesaan,85.51
Jawa Barat,2021,Perdesaan,81.99
Jawa Barat,2020,Perdesaan,82.96
Jawa Tengah,2024,Perkotaan,92.18
Jawa Tengah,2023,Perkotaan,90.23
Jawa Tengah,2022,Perkotaan,92.72
Jawa Tengah,2021,Perkotaan,90.61
Jawa Tengah,2020,Perkotaan,91.56
Jawa Tengah,2024,Perdesaan,88.77
Jawa Tengah,2023,Perdesaan,84.3
Jawa Tengah,2022,Perdesaan,89.87
Jawa Tengah,2021,Perdesaan,86.35
Jawa Tengah,2020,Perdesaan,86.06
Jawa Timur,2024,Perkotaan,93.12
Jawa Timur,2023,Perkotaan,90.19
Jawa Timur,2022,Perkotaan,92.52
Jawa Timur,2021,Perkotaan,90.61
Jawa Timur,2020,Perkotaan,92.3
Jawa Timur,2024,Perdesaan,86.8
Jawa Timur,2023,Perdesaan,82.53
Jawa Timur,2022,Perdesaan,88.07
Jawa Timur,2021,Perdesaan,84.76
Jawa Timur,2020,Perdesaan,84.38
Kalimantan Barat,2024,Perkotaan,97.87
Kalimantan Barat,2023,Perkotaan,95.84
Kalimantan Barat,2022,Perkotaan,96.76
Kalimantan Barat,2021,Perkotaan,96.24
Kalimantan Barat,2020,Perkotaan,97.17
Kalimantan Barat,2024,Perdesaan,93.46
Kalimantan Barat,2023,Perdesaan,87.84
Kalimantan Barat,2022,Perdesaan,90.13
Kalimantan Barat,2021,Perdesaan,86.94
Kalimantan Barat,2020,Perdesaan,85.42
Kalimantan Selatan,2024,Perkotaan,95.22
Kalimantan Selatan,2023,Perkotaan,94.22
Kalimantan Selatan,2022,Perkotaan,95
Kalimantan Selatan,2021,Perkotaan,95.47
Kalimantan Selatan,2020,Perkotaan,95.84
Kalimantan Selatan,2024,Perdesaan,90.33
Kalimantan Selatan,2023,Perdesaan,88.05
Kalimantan Selatan,2022,Perdesaan,90.98
Kalimantan Selatan,2021,Perdesaan,88.19
Kalimantan Selatan,2020,Perdesaan,89.62
Kalimantan Tengah,2024,Perkotaan,98.46
Kalimantan Tengah,2023,Perkotaan,95.98
